Name,Price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
BURRITOS CARNE ASADA,4.99,490 ,19 g,5 g,0 g,50 mg,880 mg,55 g,3 g,2 g,22 g,0 mcg,100 mg,2.9 mg,360 mg
HONEY MULTI-FLORAL NEW ZEALAND,3.99,60 ,0 g,0 g,0 g,0 mg,0 mg,16 g,0 g,16 g,0 g,N/A,N/A,N/A,N/A
BUTTER NZ GRASS FED SALTED,3.29,100 ,11 g,8 g,0.5 g,30 mg,75 mg,0 g,0 g,0 g,0 g,0 mcg,0 mg,0 mg,0 mg
CEREAL ALMOND BUTTER PUFFS,3.49,200 ,10 g,1 g,0 g,0 mg,80 mg,20 g,2 g,6 g,6 g,0 mcg,60 mg,1.2 mg,180 mg
PINEAPPLE CHILE SPICED,3.99,130 ,0 g,0 g,0 g,0 mg,60 mg,32 g,6 g,22 g,1 g,0 mcg,80 mg,0.8 mg,280 mg
ORGANIC BLOOD ORANGE ROOIBOS HERBAL TEA,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TUNA AHI SMOKED,5.99,70 ,1.0 g,0 g,0 g,20 mg,600 mg,0 g,0 g,0 g,13 g,0.9 mcg,10 mg,0.5 mg,240 mg
PASTA SAUCE BOLOGNESE VEGAN,3.49,110 ,7 g,1.0 g,0 g,0 mg,330 mg,8 g,2 g,5 g,4 g,0 mcg,20 mg,1.7 mg,250 mg
SPICE MUSHROOM UMAMI SEASONING,2.99,0 ,0 g,N/A,N/A,N/A,140 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
TRADER JOE'S SMALL BATCH VODKA 10X DISTILLED 750ML,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
THAI STYLE GREEN CHILI NOOM SAUCE,2.99,90 ,9 g,0 g,0 g,0 mg,250 mg,4 g,0 g,1 g,0 g,0 mcg,0 mg,0.2 mg,60 mg
SHREDDED PIZZA TOSCANO,4.49,110 ,9 g,5 g,0 g,25 mg,190 mg,less than 1g g,less than 1g g,0 g,7 g,0.2 mcg,240 mg,0.2 mg,30 mg
POP UP SPONGES,50.0,70,0g,0g,0g,0g,10mg,26g,0g,25g,0g,N/A,,,45mg
MANGO & CREAM BARS,3.49,160 ,5 g,3.0 g,0 g,15 mg,25 mg,29 g,less than 1g g,27 g,2 g,0.2 mcg,50 mg,0.1 mg,130 mg
SALAD COMPLETE TAHINI SLAW,3.99,160 ,10 g,1.5 g,0 g,0 mg,150 mg,13 g,3 g,7 g,4 g,0.0 mcg,60 mg,1.6 mg,360 mg
CAKE I DREAM OF CHOCOLATE,6.99,250 ,13 g,7 g,0 g,40 mg,160 mg,32 g,2 g,22 g,3 g,0.4 mcg,40 mg,1.8 mg,170 mg
COLD BREW COFFEE BAGS KILILMANJARO,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CULTURED COCO MILK VANILLA,1.49,170,8 g,7 g,0 g,0 mg,25 mg,24 g,0 g,16 g,less than 1g,,,,
LOTION BODY GEL HYALURONIC,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SOUP GARDEN VEGETABLE,3.99,100 ,2.0 g,0 g,0 g,0 mg,790 mg,18 g,3 g,8 g,2 g,0.0 mcg,90 mg,1.2 mg,510 mg
CRACKERS CAULIFLOWER CRISPS,2.99,180 ,9 g,3.5 g,0 g,0 mg,210 mg,21 g,2 g,less than 1g,4 g,0 mcg,20 mg,1.3 mg,90 mg
LATKES POTATO PANCAKES,3.29,150,6 g,0.5 g,0 g,less than 5 mg,350 mg,22 g,2 g,0 g,3 g,N/A,10 mg,0.4 mg,240 mg
HOL CORNBREAD CRISPS,2.99,140 ,4.0 g,0 g,0 g,0 mg,240 mg,23 g,Less than 1g,4 g,2 g,0 mcg,50 mg,0.8 mg,30 mg
CHOCOLATE COVERED WAFER COOKIE,0.99,290 ,16 g,13 g,0 g,less than 5 mg,75 mg,34 g,2 g,19 g,3 g,0 mcg,70 mg,0.2 mg,150 mg
QUICHE LORRAINE,5.99,340,22g,12g,0.5g,200mg,470mg,20g,less than 1g,2g,15g,1mcg,180mg,2mg,210mg
TREK MIX SAVORY BANANA NUT,2.99,150 ,11 g,6 g,0 g,0 mg,210 mg,13 g,less than 1g,1 g,2 g,0.2 mcg,10 mg,0.7 mg,150 mg
BROWNIE CRISP ICE CRM SANDWICH,4.49,140 ,7 g,4.5 g,0 g,25 mg,40 mg,21 g,1 g,16 g,3 g,0 mcg,80 mg,0.7 mg,100 mg
CARROT TURMERIC JUIC ORG 32 OZ,3.99,70 ,0 g,0 g,0 g,0 mg,105 mg,15 g,1 g,6 g,2 g,0 mcg,40 mg,0.9 mg,480 mg
GRANOLA ORG FRUIT & SEED,3.99,310 ,19 g,6 g,0 g,0 mg,95 mg,30 g,6 g,13 g,8 g,0.0 mcg,50 mg,2.2 mg,370 mg
ICE CREAM MATCHA GREEN TEA,2.99,260 ,16 g,9 g,0 g,75 mg,50 mg,25 g,0 g,23 g,4 g,1.6 mcg,130 mg,0.2 mg,140 mg
SALAD COMPLETE ORGANIC CAESAR 12 OZ,4.29,170 ,14 g,3.0 g,0 g,15 mg,260 mg,8 g,2 g,1 g,4 g,0.0 mcg,90 mg,0.9 mg,190 mg
FOCACCIA ROASTED TOMATO AND PARMESAN,4.99,150 ,3.5 g,1.0 g,0 g,less than 5 mg,340 mg,24 g,1 g,1 g,5 g,0 mcg,40 mg,1.7 mg,90 mg
ALMOND CASHEW MACADAMIA BEVERAGE UNSWEETENED 1 QT,2.49,30 ,2.5 g,0 g,0 g,0 mg,120 mg,1 g,Less than 1 g,0 g,Less than 1 g,0 mcg,160 mg,0.3 mg,30 mg
SALAD MEDIT CHOPPED ORG,3.99,110 ,7 g,1.5 g,0 g,Less than 5 mg,290 mg,9 g,2 g,3 g,2 g,0 mcg,50 mg,0.8 mg,280 mg
FRENCH PAIN AU LAIT CHOC CHIP BREAD,3.49,160 ,7 g,3.5 g,0 g,15 mg,135 mg,18 g,1 g,7 g,3 g,0.1 mcg,10 mg,0.1 mg,20 mg
JOE COFFEE LIGHT ROAST GROUND,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHAI TEA CONCENTRATE,2.79,80 ,0 g,0 g,0 g,0 mg,0 mg,21 g,0 g,20 g,0 g,0.0 mcg,0 mg,0.0 mg,60 mg
SALSA PEPITA,3.49,30 ,2.5 g,0 g,0 g,0 mg,180 mg,2 g,0 g,Less than 1 g,Less than 1 g,0 mcg,10 mg,0.4 mg,30 mg
ORGANIC SHREDDED 3 CHEESE BLEND,4.49,100 ,8 g,5.0 g,0 g,25 mg,170 mg,Less than 1 g,0 g,0 g,7 g,0.1 mcg,200 mg,0.1 mg,30 mg
CHIVE AND ONION CREAM CHEESE,2.29,80 ,8 g,6 g,0 g,25 mg,110 mg,3 g,0 g,1 g,Less than 1 g,0 mcg,30 mg,0.1 mg,30 mg
PB&J SNACK DUO,3.99,270 ,11 g,2 g,0 g,0 mg,120 mg,36 g,2 g,21 g,8 g,0 mcg,20 mg,0.7 mg,190 mg
TUNA WILD SKIPJACK POUCH,1.79,90 ,0.5 g,0 g,0 g,40 mg,280 mg,0 g,0 g,0 g,22 g,1.7 mcg,10 mg,0.7 mg,270 mg
DECAF JOES COFFEE MEDIUM K CUP,5.29,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SLICED NZ ORGANIC CHEDDAR,4.99,120,10 g,6 g,0.5 g,25 mg,210 mg,0 g,N/A,N/A,6 g,N/A,265 mg,0 mg,20 mg
GREEN TEA MATCHA 245 ML,1.29,0 ,0 g,N/A,N/A,N/A,15 mg,1 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
GOLDEN OOLONG TEA,1.29,0 ,0 g,N/A,N/A,N/A,25 mg,less than 1g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
ISRAELI FETA IN BRINE,7.99,70 ,5 g,3.5 g,0 g,20 mg,160 mg,1 g,0 g,0 g,4 g,0.2 mcg,100 mg,0.1 mg,20 mg
BATONS VANILLA,1.99,120 ,6 g,2.5 g,0 g,0 mg,40 mg,16 g,0 g,10 g,1 g,0.0 mcg,20 mg,0.4 mg,40 mg
CHEESE CRUNCHIES SPICY,1.99,130 ,6 g,0.5 g,0 g,0 mg,210 mg,17 g,Less than 1g,Less than 1g,2 g,0 mcg,20 mg,0.3 mg,60 mg
SPARKLING COCONUT WATER W/YUZU 4PK,3.99,60 ,0 g,0 g,0 g,0 mg,115 mg,15 g,3 g,10 g,0 g,,,,
CAULIFLOWER RICED MEXICAN STYLE,3.79,50 ,2.5 g,0 g,0 g,0 mg,330 mg,5 g,1 g,2 g,2 g,0.0 mcg,40 mg,0.7 mg,270 mg
MAGNIFISAUCE,3.49,110 ,9 g,0.5 g,0 g,10 mg,230 mg,6 g,0 g,5 g,0 g,0.0 mcg,0 mg,0.1 mg,10 mg
MAC & CHEESE BITES,3.99,190 ,10 g,4.0 g,0 g,25 mg,280 mg,19 g,2 g,0 g,7 g,0.0 mcg,100 mg,0.8 mg,90 mg
COLD PRESSED JUICE SHOT 100% ACEROLA,1.99,15 ,0 g,0 g,0 g,0 mg,0 mg,3 g,0 g,2 g,0 g,0.0 mcg,0 mg,0.0 mg,80 mg
INSTANT COLD BREW COFFEE,4.49,15 ,0 g,N/A,N/A,N/A,0 mg,3 g,N/A,N/A,less than 1 g,N/A,N/A,0.2 mg,240 mg
FRIED RICE KOREAN INSPIRED BULGOGI BEEF W/ KIMCHI,5.49,400 ,10 g,1.5 g,0 g,20 mg,1150 mg,60 g,3 g,7 g,11 g,0 mcg,50 mg,1.5 mg,300 mg
LAUNDRY DETERGENT FREE & CLEAR,5.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRACKERS TRAIL MIX,2.79,170 ,8 g,2.5 g,0 g,0 mg,95 mg,19 g,2 g,4 g,5 g,0 mcg,40 mg,1.2 mg,160 mg
CROISSANTS 8 MINI READY TO BAKE,5.49,160 ,10 g,6 g,0 g,30 mg,130 mg,13 g,less than 1 g,1 g,3 g,0.2 mcg,30 mg,0.9 mg,40 mg
PASTA SAUCE SPICY TOMATO PEPPER,3.99,80 ,4.0 g,0.5 g,0 g,0 mg,250 mg,9 g,2 g,5 g,2 g,0.0 mcg,40 mg,1.3 mg,250 mg
ACEROLA PUREE ORGANIC,3.49,30 ,0 g,0 g,0 g,0 mg,0 mg,6 g,1 g,0 g,1 g,0.0 mcg,10 mg,0.0 mg,150 mg
SALSA ORGANIC,3.49,10 ,0 g,0 g,0 g,0 mg,140 mg,2 g,0 g,1 g,0 g,0 mcg,20 mg,0.1 mg,60 mg
KIBBEH MIDDLE EASTERN INSPIRED STUFFED MEATBALL,4.99,100 ,3.5 g,1.0 g,0 g,15 mg,350 mg,10 g,1 g,0 g,7 g,0.0 mcg,10 mg,2.3 mg,130 mg
DIP CAULIFLOWER CREAMY,3.79,40 ,3.5 g,2.0 g,0 g,10 mg,120 mg,1 g,0 g,less than 1 g,1 g,0 mcg,40 mg,0.1 mg,30 mg
GUMMY SUPER SOUR SCANDINAVIAN SWIMMERS,3.49,110 ,0 g,0 g,0 g,0 mg,20 mg,28 g,0 g,21 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
BUFFALO CHICKEN DIP,4.99,60 ,4.5 g,2.5 g,0 g,15 mg,220 mg,2 g,0 g,less than 1 g,3 g,0 mcg,40 mg,0.1 mg,40 mg
PISTACHIO GARLIC & ONION,6.99,170 ,13 g,1.5 g,0 g,0 mg,140 mg,9 g,3 g,2 g,6 g,0.0 mcg,30 mg,1.2 mg,300 mg
ORANGE ORGANIC 12 FL OZ,2.49,170 ,0.5 g,0 g,0 g,0 mg,0 mg,39 g,less than 1 g,31 g,3 g,0 mcg,40 mg,0.7 mg,740 mg
TRAIL MIX BAZAAR BASKET SNACK MIX,5.99,140 ,7 g,0.5 g,0 g,0 mg,95 mg,16 g,4 g,7 g,5 g,0 mcg,40 mg,1.2 mg,260 mg
BARS PROTEIN PB CHOCOLATE,3.49,190 ,11 g,2.5 g,0 g,0 mg,180 mg,15 g,4 g,8 g,10 g,0 mcg,50 mg,1.4 mg,140 mg
SIDE PEANUT UDON NOODLE SALAD,4.99,220 ,10 g,1.5 g,0 g,0 mg,390 mg,28 g,3 g,5 g,7 g,,,,
SALSA CHUNKY ORGANIC,2.99,10 ,0 g,0 g,0 g,0 mg,135 mg,2 g,less than 1 g,1 g,0 g,0 mcg,10 mg,0.2 mg,90 mg
SUNFLOWER SEED BUTTER CUPS DARK CHOC 2PK,0.99,230 ,18 g,7 g,0 g,0 mg,95 mg,16 g,3 g,11 g,4 g,0.4 mcg,20 mg,3.3 mg,0 mg
DIP AVOCADO TZATZIKI,3.99,25 ,1.5 g,0 g,0 g,Less than 5 mg,80 mg,2 g,Less than 1g,0 g,1 g,0 mcg,40 mg,0.1 mg,30 mg
PLANTAIN CHIPS JERK STYLE,1.99,140 ,7 g,0.5 g,0 g,0 mg,80 mg,19 g,1 g,0 g,less than 1g,0 mcg,10 mg,0.2 mg,230 mg
CHIPS SADDLES SALTED,1.99,150 ,9 g,1.5 g,0 g,0 mg,95 mg,16 g,less than 1g,0 g,1 g,0 mcg,10 mg,0.3 mg,290 mg
PLANTAIN CRISPS,2.79,170 ,10 g,4.0 g,0 g,0 mg,45 mg,19 g,2 g,0 g,less than 1g,0 mcg,0 mg,0.4 mg,230 mg
COFFEE COLD BREW RTD COLOMBIAN,5.49,15 ,0 g,N/A,N/A,N/A,0 mg,3 g,N/A,N/A,1 g,N/A,N/A,N/A,550 mg
ORG EARL GREY TEA,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIOCCHETTI CHEESE FILLED WITH PINK SAUCE,4.49,290 ,17 g,10 g,0 g,65 mg,370 mg,26 g,1 g,2 g,8 g,0.0 mcg,100 mg,0.7 mg,160 mg
LAVENDER DRYER SACHET,4.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SOUP BEEF PHO,3.49,220 ,4.5 g,1.0 g,0 g,25 mg,860 mg,34 g,1 g,less than 1 g,13 g,0 mcg,40 mg,1.6 mg,240 mg
SHAMPOO BAR PEPPERMINT TEA TREE,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FREEZE DRIED ORG BERRY MEDLEY BLEND,3.99,120 ,1.0 g,0 g,0 g,0 mg,0 mg,29 g,9 g,16 g,2 g,0.0 mcg,40 mg,1.5 mg,320 mg
MUFFINS BLUEBERRY,4.99,360 ,13 g,1.5 g,0 g,45 mg,270 mg,56 g,1 g,32 g,4 g,,,,
BOATSWAIN AMERICAN I.P.A.,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MALABARI PARATHA,2.29,120 ,3.5 g,0.5 g,0 g,0 mg,120 mg,20 g,1 g,1 g,3 g,0 mcg,10 mg,0.7 mg,40 mg
SLCD SALAMI DE PARMA ITALY,5.99,90 ,6 g,2.5 g,0 g,30 mg,480 mg,Less than 1 g,Less than 1 g,0 g,8 g,0 mcg,10 mg,0.4 mg,130 mg
MASHED CAULIFLOWER,3.49,50 ,2.0 g,1.0 g,0 g,5 mg,270 mg,7 g,2 g,3 g,2 g,0.0 mcg,30 mg,0.2 mg,200 mg
SAUCE ZHOUG SPICY GREEN,3.69,90 ,9 g,0.5 g,0 g,0 mg,160 mg,3 g,Less than 1 g,0 g,Less than 1 g,0 mcg,10 mg,0.4 mg,80 mg
SPICE ONION SALT 2OZ,1.99,0 ,0 g,0 g,0 g,0 mg,75 mg,Less than 1 g,0 g,0 g,0 g,0 mcg,0 mg,0 mg,10 mg
BARS GRANOLA ABC (ALMOND BUTTER COCOA),3.49,160 ,8 g,1.0 g,0 g,0 mg,95 mg,19 g,2 g,6 g,4 g,0.0 mcg,40 mg,1.0 mg,130 mg
WORLDS PUFFIEST WHITE CHEDDAR,2.49,140 ,5 g,0.5 g,0 g,0 mg,120 mg,20 g,1 g,2 g,2 g,0.0 mcg,0 mg,0.0 mg,0 mg
CRUNCHY CINNAMON SQUARES,3.49,160,2.5 g,0.5 g,0 g,0 mg,300 mg,N/A,3 g,10 g,4 g,1.3 mcg,130 mg,5.8 mg,100 mg
RICED CAULIFLOWER STIR-FRY,3.79,50 ,2.0 g,0 g,0 g,0 mg,190 mg,7 g,2 g,3 g,2 g,0.0 mcg,20 mg,0.4 mg,170 mg
BELGIAN CHOC FILLED BITE SIZE,2.49,190 ,10 g,5 g,0 g,Less than 5mg,55 mg,23 g,2 g,11 g,2 g,0.0 mcg,10 mg,1.8 mg,90 mg
DUMPLING CHICKEN MUSHROOM PELMENI,3.99,160 ,3.5 g,1.0 g,0 g,25 mg,250 mg,22 g,Less than 1 g,Less than 1 g,8 g,0 mcg,30 mg,0.9 mg,210 mg
JUST A HANDFUL OF RAINBOWS END,4.99,210 ,13 g,3.0 g,0 g,0 mg,80 mg,21 g,2 g,16 g,5 g,0 mcg,45 mg,1.1 mg,231 mg
ELECTRIC BUZZ COFFEE K CUP,5.29,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPICE PAPRIKA SMOKED TIN,2.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AVOCADO BAG HASS TEENY TINY 6C,3.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PLANTAINS DARK CHOC,2.99,150 ,8 g,2.0 g,0 g,0 mg,150 mg,19 g,1 g,4 g,less than 1g,0.0 mcg,0 mg,0.6 mg,220 mg
DRY SHAMPOO,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GINGER ALMOND EXFOLIANT SOAP,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3 SEED BEET ROUND CRACKERS,1.99,150 ,8 g,1.0 g,0 g,0 mg,50 mg,18 g,0 g,Less than 1 g,2 g,0 mcg,10 mg,0.8 mg,110 mg
XHOT HABANERO GHOST SALSA,3.49,10 ,0 g,0 g,0 g,0 mg,150 mg,2 g,0 g,Less than 1 g,0 g,0 mcg,10 mg,0.2 mg,60 mg
GF PIZZA W/CAULIFLOWER CRUST,5.49,250 ,12 g,7 g,0 g,35 mg,490 mg,24 g,3 g,3 g,14 g,0.2 mcg,280 mg,1.1 mg,340 mg
GRANOLA PROTEIN PEANUT BUTTER,3.99,260,12 g,2 g,0 g,0 mg,160 mg,29 g,3 g,9 g,11 g,0 mcg,40 mg,1.6 mg,340 mg
GLUTEN FREE CRISPBREAD,4.29,130 ,9 g,1.0 g,0 g,0 mg,170 mg,9 g,3 g,1 g,4 g,0 mcg,30 mg,1.4 mg,160 mg
FOURSOME ORGANIC GREEN VEGETABLE,2.99,30 ,1.5 g,0.5 g,0 g,0 mg,90 mg,3 g,2 g,0 g,1 g,0.0 mcg,30 mg,0.8 mg,210 mg
MAC & CHEESE GLUTEN FREE,3.69,300 ,10 g,5 g,0 g,30 mg,600 mg,41 g,1 g,3 g,11 g,0.7 mcg,140 mg,0.7 mg,80 mg
QUESADILLA CHIPOTLE VEGETABLE,3.69,360 ,13 g,5 g,0 g,30 mg,510 mg,47 g,4 g,3 g,15 g,0.1 mcg,290 mg,3.0 mg,250 mg
PART SKIM RICOTTA,3.99,70 ,4.5 g,3.0 g,0 g,25 mg,80 mg,3 g,0 g,2 g,4 g,0 mcg,210 mg,0.0 mg,100 mg
MILK & DARK CHOC BUTTERSCOTCH BAR,1.79,160 ,11 g,6 g,0 g,less than 5 mg,15 mg,14 g,2 g,11 g,2 g,0.4 mcg,40 mg,2.7 mg,130 mg
GNOCCHI CAULIFLOWER,3.29,140 ,3.0 g,0.5 g,0 g,0 mg,460 mg,22 g,6 g,less than 1 g,2 g,0 mcg,40 mg,0.9 mg,210 mg
BURRITO BREAKFAST CHICKEN SAUSAGE AND EGG,4.49,550 ,26 g,9 g,0 g,180 mg,840 mg,49 g,4 g,3 g,25 g,1.9 mcg,310 mg,4.8 mg,290 mg
CHICKEN BURRITO BOWL,3.49,370 ,10 g,4.5 g,0 g,55 mg,630 mg,51 g,9 g,2 g,22 g,0.0 mcg,130 mg,2.6 mg,690 mg
AUTO DISHWASH GEL,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MIXED NUT BUTTER,5.99,180 ,16 g,2 g,0 g,0 mg,35 mg,7 g,N/A,1 g,6 g,,,,
ORG COCONUT AMINOS,2.99,20,0 g,0 g,0 g,0 mg,230 mg,5 g,0 g,4 g,0 g,0 mcg,11.7mg,0 mg,40 mg
ORG SPICY TACO SAUCE,2.49,5 ,0 g,0 g,0 g,0 mg,140 mg,Less than 1g,0 g,0 g,0 g,0.0 mcg,0 mg,0.1 mg,30 mg
ORG MINESTRONE SOUP,4.69,100 ,2.0 g,0 g,0 g,0 mg,630 mg,17 g,3 g,4 g,4 g,,,,
BOWL RICED CAULIFLOWER,3.49,120 ,7 g,1.0 g,0 g,0 mg,160 mg,11 g,3 g,2 g,5 g,0.0 mcg,90 mg,1.7 mg,250 mg
MIXED NUTS OLIVE & HERB,4.99,170 ,15 g,1.5 g,0 g,0 mg,105 mg,8 g,2 g,2 g,5 g,0 mcg,40 mg,1.4 mg,180 mg
BREAD SPROUTED SOURDOUGH MWO,4.49,90 ,0 g,0 g,0 g,0 mg,170 mg,14 g,2 g,1 g,7 g,0 mcg,10 mg,0.8 mg,60 mg
ND COCONUT TURMERIC GOLDEN MILK,2.69,80 ,5 g,5.0 g,0 g,0 mg,90 mg,8 g,0 g,6 g,less than 1 g,0 mcg,0 mg,0.9 mg,90 mg
HAIR SERUM SHEA BUTTER AND COCONUT OIL,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GUMMY SCANDINAVIAN SWIMMERS,3.49,100 ,0 g,0 g,0 g,0 mg,20 mg,26 g,0 g,19 g,0 g,0.0 mcg,1 mg,0.0 mg,3 mg
LATKES CAULIFLOWER PANCAKES,3.99,170 ,7 g,2.5 g,0 g,10 mg,340 mg,21 g,2 g,2 g,7 g,0.1 mcg,170 mg,0.9 mg,170 mg
BBQ SAUCE KANSAS CITY ORGANIC,2.99,45 ,0 g,0 g,0 g,0 mg,250 mg,11 g,0 g,10 g,Less than 1 g,0.0 mcg,10 mg,0.4 mg,10 mg
CRACKERS RED CHILI SCALLOPED,1.49,130 ,6 g,0.5 g,0 g,0 mg,210 mg,17 g,less than 1 g,less than 1 g,2 g,0 mcg,10 mg,1.0 mg,30 mg
DRESSING FIG & BALSAMIC ORGANIC,3.99,60 ,3.5 g,0 g,0 g,0 mg,220 mg,6 g,less than 1 g,5 g,0 g,0.0 mcg,10 mg,0.1 mg,40 mg
DRESSING TOASTED SESAME ORGANIC,3.99,130 ,13 g,1.5 g,0 g,0 mg,200 mg,4 g,0 g,3 g,Less than 1g,,,,
SHAKSHUKAH STARTER,1.99,80 ,3.5 g,0 g,0 g,0 mg,340 mg,11 g,2 g,6 g,2 g,0.0 mcg,40 mg,1.6 mg,370 mg
JOE JOES SLIMS CHOCOLATE VANILLA,1.99,150 ,5 g,2.0 g,0 g,0 mg,110 mg,24 g,1 g,12 g,2 g,0 mcg,0 mg,1.8 mg,100 mg
ROLLS CIABATTA EVERYTHING,2.49,250 ,1.5 g,0 g,0 g,0 mg,730 mg,48 g,2 g,Less than 1g,8 g,0 mcg,20 mg,3.4 mg,90 mg
BOWL SRIRACHA SHRIMP,3.49,320 ,8 g,1.5 g,0 g,35 mg,690 mg,47 g,Less than 1 g,3 g,15 g,3.5 mcg,220 mg,1.6 mg,340 mg
FRENCH PAIN AU LAIT BREAD,2.99,130 ,4.5 g,2.0 g,0 g,20 mg,160 mg,19 g,1 g,5 g,3 g,0.1 mcg,10 mg,0.3 mg,30 mg
ORANGE STICKS DK CHOC,3.49,120 ,3.0 g,1.5 g,0 g,0 mg,10 mg,23 g,less than 1g,17 g,0 g,0.0 mcg,0 mg,0.9 mg,40 mg
HONEY GOAT LOG 5 OZ,3.29,80 ,5 g,3.5 g,0 g,20 mg,75 mg,4 g,0 g,3 g,4 g,,,,
TACO SHELLS ORGANIC YELLOW,2.49,130 ,6 g,2.5 g,0 g,0 mg,0 mg,16 g,2 g,0 g,2 g,0 mcg,20 mg,0.2 mg,50 mg
OIL AVOCADO VIRGIN,5.99,120 ,14 g,2.5 g,0 g,0 mg,0 mg,0 g,0 g,0 g,0 g,0 mcg,0 mg,0 mg,0 mg
SPICE EVERYTHING BUT THE ELOTE BLEND 2.3 OZ,1.99,0 ,0 g,N/A,N/A,N/A,70 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
CRACKERS CRISPBREAD EVERYTHING BUT THE GLUTEN,2.99,160 ,11 g,1.0 g,0 g,0 mg,190 mg,13 g,4 g,less than 1 g,5 g,0 mcg,30 mg,1.2 mg,160 mg
DRESSING CUCUMBER KEFIR ORGANIC,3.49,50 ,4.0 g,0 g,0 g,0 mg,160 mg,2 g,0 g,2 g,1 g,0.1 mcg,40 mg,0.1 mg,60 mg
3 PACK SALTED CARAMEL DARK CHOC,1.99,130 ,9 g,5 g,0 g,10 mg,0 mg,12 g,2 g,10 g,1 g,0.3 mcg,0 mg,0.2 mg,0 mg
SPICE CUBAN CITRUSY GARLIC BLEND 2.25OZ,2.29,0 ,0 g,N/A,N/A,N/A,45 mg,less than 1 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
SALAD DRESSING VEGAN CAESAR,3.99,70 ,7 g,1.0 g,0 g,0 mg,260 mg,2 g,0 g,less than 1 g,less than 1 g,0 mcg,10 mg,0.2 mg,40 mg
ORGANIC COLD BREW TEA CONCENTRATE,4.99,0 ,0 g,N/A,N/A,N/A,0 mg,less than 1 g,N/A,0 g,0 g,N/A,N/A,N/A,N/A
CHICKENLESS MANDARIN ORANGE,3.79,270 ,8 g,0.5 g,0 g,0 mg,720 mg,29 g,7 g,15 g,20 g,0.0 mcg,50 mg,2.0 mg,400 mg
POTATO CHIPS EVERYTHING BUT THE BAGEL SEASONING,2.99,140 ,7 g,0.5 g,0 g,0 mg,135 mg,17 g,2 g,0 g,2 g,0 mcg,10 mg,0.5 mg,470 mg
CEREAL TJ'S BRAN FLAKES ORGANIC,2.29,170 ,1.0 g,0 g,0 g,0 mg,180 mg,37 g,6 g,5 g,4 g,0 mcg,20 mg,1.5 mg,200 mg
SHREDDED UNEXPECTED CHEDDAR,4.99,110 ,9 g,6 g,0 g,25 mg,180 mg,1 g,less than 1 g,0 g,7 g,3.8 mcg,210 mg,0 mg,20 mg
SOY CHERRY CHOC CHIP NON-DAIRY FROZEN DESSERT,3.99,260 ,10 g,1.5 g,0 g,0 mg,105 mg,43 g,1 g,37 g,3 g,0 mcg,50 mg,0.8 mg,110 mg
