Name,Price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
HOL PIE NANTUCKET STYLE CRANBERRY,6.49,280 ,14 g,7 g,0 g,55 mg,115 mg,36 g,0 g,28 g,3 g,0.2 mg,20 mg,0.4 mg,60 mg
HOL R-HOLIDAY VEGETABLE HASH,4.99,45 ,0 g,0 g,0 g,0 mg,30 mg,11 g,2 g,3 g,less than 1 g,,,,
HOL WHITE STILTON WITH CRANBERRIES,11.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL FRIED RICE TURKEY SAUSAGE,4.99,280 ,11 g,1.5 g,0 g,10 mg,510 mg,39 g,1 g,2 g,7 g,0 mcg,20 mg,0.6 mg,160 mg
HOL GREEN BEAN CASSEROLE BITES,3.99,30,1.5g,1g,0g,less than 5mg,60mg,3g,0g,0g,less than 1g,0mcg,20mg,0.2mg,10mg
CARAMEL SAUCE FLEUR DE SEL,3.99,60,1.5 g,1 g,0 g,5 mg,55 mg,11 g,0 g,9 g,0 g,0 mcg,7 mg,0 mg,9 mg
WHOLE GRAIN DIJON MUSTARD,1.99,5 ,0.5 g,N/A,N/A,N/A,80 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
HOL GHOST VINE SPICED RED BLEND,5.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DIJON MUSTARD,1.99,10 ,0.5 g,N/A,N/A,N/A,105 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
BANANA EACH,0.19,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PASTA TRICOLOR SPAGHETTI ORGANIC,2.49,200 ,1 g,0 g,0 g,0 mg,0 mg,40 g,2 g,2 g,7 g,0 mcg,20 mg,0.6 mg,190 mg
HOL SOUP TURKEY STOCK,2.49,10 ,0 g,0 g,0 g,0 mg,430 mg,2 g,0 g,1 g,1 g,0 mcg,0 mg,0 mg,0 mg
HOL ONION PIECES FRIED,2.99,45 ,3 g,1 g,0 g,0 mg,35 mg,3 g,0 g,0 g,0 g,0 mcg,3.4 mg,0 mg,27 mg
VEG MEAT-LESS STUFFED TURKEY ROAST W/GRAVY,6.99,300 ,12 g,2 g,0 g,0 mg,600 mg,22 g,3 g,4 g,26 g,0 mcg,40 mg,1.4 mg,200 mg
HOL SCALLOPINI POTATOES,4.49,190 ,10 g,6 g,0 g,25 mg,570 mg,18 g,2 g,3 g,7 g,0 mcg,180 mg,0.2 mg,440 mg
HOL SPICE EVERYTHING BUT THE LEFTOVERS,2.99,0 ,0 g,N/A,N/A,N/A,160 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
CHEWCUTERIE BISCUITS,3.29,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL SALAMI TRUFFLE,4.99,100,7g,2.5g,0g,25mg,360mg,0g,N/A,N/A,8g,N/A,,,N/A
HOL CRANBERRY GOAT LOG,4.99,80,4.5g,3g,0g,20mg,75mg,5g,N/A,3g,4g,,,,
HOL R-BRUSSELS SPROUTS COMPLETE SIDE KIT,4.69,140 ,10 g,1.5 g,0 g,Less than 5 mg,105 mg,8 g,3 g,3 g,5 g,0 mcg,90 mg,1.1 mg,280 mg
SPICE AJIKA GEORGIAN STYLE SEASONING 2OZ,1.99,0 ,0 g,N/A,N/A,N/A,0 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
TJ RES CAB SAUV SONOMA LOT 215,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GARLIC ACHAAR,2.69,50,3.5g,1g,0g,0mg,125mg,4g,N/A,less than 1g,0g,,,,
PIE CRUSTS,4.49,190 ,13 g,7 g,0 g,5 mg,40 mg,17 g,0 g,2 g,2 g,0 mcg,0 mg,1.0 mg,20 mg
HOL CREAMED GREENS,5.99,,7 g,2.5 g,0 g,15 mg,440 mg,11 g,4 g,4 g,6 g,0.6 mcg,120 mg,0.7 mg,190 mg
PASTA CAPELLINI,0.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PASTA LINGUINE,0.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PASTA SPAGHETTI,0.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PASTA FARFALLE,1.29,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PASTA PENNE RIGATE,0.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PASTA HEARTS OF PALM,3.49,20 ,0 g,0 g,0 g,0 mg,0 mg,4 g,2 g,1 g,less than 1 g,0 mcg,30 mg,0.1 mg,130 mg
VILLA ANTICA ASOLO PROSECCO DOCG SUPERIORE,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JELLY BEANS SOUR,2.29,120 ,0 g,0 g,0 g,0 mg,0 mg,28 g,0 g,22 g,0 g,0 mcg,0 mg,0 mg,0 mg
PEANUTS BAMBA HAZELNUT CREAM,1.99,150 ,8 g,1.5 g,0 g,0 mg,50 mg,17 g,1 g,7 g,3 g,0 mcg,30 mg,0.4 mg,80 mg
SPICE CHEESY BLEND,2.99,0 ,0 g,N/A,N/A,N/A,70 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
